,,Arsenal,Everton,Fulham,Manchester City,Newcastle United,Queens Park Rangers,Reading,West Bromwich Albion,West Ham United,Wigan Athletic,Aston Villa,Chelsea,Liverpool,Manchester United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur
Arsenal vs Everton,win%,43.2,41.8,,,,,,,,,,,,,,,,,,
Arsenal vs Everton,loss%,41.8,43.2,,,,,,,,,,,,,,,,,,
Arsenal vs Everton,tie%,15.0,15.0,,,,,,,,,,,,,,,,,,
Arsenal vs Everton,avg_goles,3.074,3.066,,,,,,,,,,,,,,,,,,
Arsenal vs Everton,avg_tiros,18.162,16.842,,,,,,,,,,,,,,,,,,
Arsenal vs Everton,avg_pases,302.654,260.42,,,,,,,,,,,,,,,,,,
Arsenal vs Everton,avg_quites,89.76,111.318,,,,,,,,,,,,,,,,,,
Arsenal vs Fulham,win%,66.5,,18.8,,,,,,,,,,,,,,,,,
Arsenal vs Fulham,loss%,18.8,,66.5,,,,,,,,,,,,,,,,,
Arsenal vs Fulham,tie%,14.7,,14.7,,,,,,,,,,,,,,,,,
Arsenal vs Fulham,avg_goles,4.228,,2.676,,,,,,,,,,,,,,,,,
Arsenal vs Fulham,avg_tiros,19.866,,11.947,,,,,,,,,,,,,,,,,
Arsenal vs Fulham,avg_pases,291.362,,278.682,,,,,,,,,,,,,,,,,
Arsenal vs Fulham,avg_quites,98.167,,105.784,,,,,,,,,,,,,,,,,
Arsenal vs Manchester City,win%,37.4,,,44.1,,,,,,,,,,,,,,,,
Arsenal vs Manchester City,loss%,44.1,,,37.4,,,,,,,,,,,,,,,,
Arsenal vs Manchester City,tie%,18.5,,,18.5,,,,,,,,,,,,,,,,
Arsenal vs Manchester City,avg_goles,2.938,,,3.156,,,,,,,,,,,,,,,,
Arsenal vs Manchester City,avg_tiros,17.762,,,16.056,,,,,,,,,,,,,,,,
Arsenal vs Manchester City,avg_pases,310.637,,,307.779,,,,,,,,,,,,,,,,
Arsenal vs Manchester City,avg_quites,91.1,,,83.495,,,,,,,,,,,,,,,,
Arsenal vs Newcastle United,win%,83.6,,,,7.3,,,,,,,,,,,,,,,
